Date,Open,High,Low,Close,sqrt(close),change,unemployment,,
10/8/96,"5,966.77","6,032.36","5,930.24","5,966.77",77.24487038,,,,
10/7/96,"5,979.81","6,025.28","5,945.15","5,979.81",77.32923121,,,,
10/4/96,"5,992.86","6,023.79","5,917.20","5,992.86",77.4135647,,,,
10/3/96,"5,932.85","5,972.36","5,887.76","5,932.85",77.02499594,,,,
10/2/96,"5,933.97","5,966.02","5,888.88","5,933.97",77.03226597,,,,
10/1/96,"5,904.90","5,942.17","5,833.72","5,904.90",76.84334714,0.084378779,5.2,,
9/30/96,"5,882.17","5,934.32","5,845.18","5,882.17",76.69530624,,,,
9/27/96,"5,872.92","5,903.99","5,819.65","5,872.92",76.63497896,,,,
9/26/96,"5,868.85","5,928.04","5,828.90","5,868.85",76.6084199,,,,
9/25/96,"5,877.36","5,928.77","5,827.42","5,877.36",76.66394198,,,,
9/24/96,"5,874.03","5,952.08","5,831.86","5,874.03",76.64222074,,,,
9/23/96,"5,894.74","5,913.24","5,820.39","5,894.74",76.77721016,,,,
9/20/96,"5,888.46","5,925.82","5,840.74","5,888.46",76.73630171,,,,
9/19/96,"5,867.74","5,908.80","5,818.17","5,867.74",76.60117493,,,,
9/18/96,"5,877.36","5,919.90","5,838.15","5,877.36",76.66394198,,,,
9/17/96,"5,888.83","5,929.51","5,830.38","5,888.83",76.73871253,,,,
9/16/96,"5,889.20","5,920.64","5,823.72","5,889.20",76.74112327,,,,
9/13/96,"5,838.52","5,871.44","5,786.73","5,838.52",76.41020874,,,,
9/12/96,"5,771.94","5,815.59","5,739.76","5,771.94",75.97328478,,,,
9/11/96,"5,754.92","5,777.49","5,696.85","5,754.92",75.86118902,,,,
9/10/96,"5,727.18","5,767.87","5,681.68","5,727.18",75.67813423,,,,
9/9/96,"5,733.84","5,756.40","5,662.08","5,733.84",75.72212358,,,,
9/6/96,"5,659.86","5,696.48","5,585.51","5,659.86",75.23204105,,,,
9/5/96,"5,606.96","5,669.47","5,592.53","5,606.96",74.87963675,,,,
9/4/96,"5,656.90","5,682.05","5,608.81","5,656.90",75.212366,,,,
9/3/96,"5,648.39","5,667.99","5,550.37","5,648.39",75.15577157,0.01625955,5.2,,
8/30/96,"5,616.21","5,659.86","5,571.45","5,616.21",74.94137709,,,,
8/29/96,"5,647.65","5,716.82","5,615.47","5,647.65",75.1508483,,,,
8/28/96,"5,712.38","5,747.89","5,678.72","5,712.38",75.58028844,,,,
8/27/96,"5,711.27","5,735.32","5,670.58","5,711.27",75.57294489,,,,
8/26/96,"5,693.89","5,742.71","5,665.41","5,693.89",75.45786904,,,,
8/23/96,"5,722.74","5,761.58","5,679.09","5,722.74",75.64879378,,,,
8/22/96,"5,733.47","5,761.95","5,662.45","5,733.47",75.7196804,,,,
8/21/96,"5,689.82","5,734.95","5,648.76","5,689.82",75.43089553,,,,
8/20/96,"5,721.26","5,747.52","5,670.21","5,721.26",75.6390111,,,,
8/19/96,"5,699.44","5,728.66","5,664.30","5,699.44",75.49463557,,,,
8/16/96,"5,689.45","5,722.74","5,646.54","5,689.45",75.42844291,,,,
8/15/96,"5,665.78","5,701.66","5,633.22","5,665.78",75.2713757,,,,
8/14/96,"5,666.88","5,695.00","5,614.36","5,666.88",75.27868224,,,,
8/13/96,"5,647.28","5,713.86","5,618.06","5,647.28",75.14838654,,,,
8/12/96,"5,704.98","5,746.04","5,625.83","5,704.98",75.53131801,,,,
8/9/96,"5,681.31","5,747.15","5,654.31","5,681.31",75.37446517,,,,
8/8/96,"5,713.49","5,746.41","5,661.34","5,713.49",75.58763126,,,,
8/7/96,"5,718.67","5,754.55","5,659.12","5,718.67",75.62188837,,,,
8/6/96,"5,696.11","5,716.45","5,630.26","5,696.11",75.4725778,,,,
8/5/96,"5,674.28","5,719.04","5,639.14","5,674.28",75.32781691,,,,
8/2/96,"5,679.83","5,703.51","5,601.41","5,679.83",75.36464688,,,,
8/1/96,"5,594.75","5,628.79","5,507.83","5,594.75",74.79806147,-0.040844086,5.1,,
7/31/96,"5,528.91","5,558.13","5,460.48","5,528.91",74.35664059,,,,
7/30/96,"5,481.93","5,503.76","5,403.52","5,481.93",74.04005673,,,,
7/29/96,"5,434.59","5,497.47","5,414.61","5,434.59",73.71967173,,,,
7/26/96,"5,473.06","5,503.02","5,397.97","5,473.06",73.98013247,,,,
7/25/96,"5,422.01","5,469.36","5,355.80","5,422.01",73.63429907,,,,
7/24/96,"5,354.69","5,402.04","5,244.83","5,354.69",73.17574735,,,,
7/23/96,"5,346.55","5,447.90","5,313.63","5,346.55",73.12010667,,,,
7/22/96,"5,390.94","5,446.05","5,346.92","5,390.94",73.42302091,,,,
7/19/96,"5,426.82","5,490.44","5,393.53","5,426.82",73.66695324,,,,
7/18/96,"5,464.18","5,500.43","5,352.10","5,464.18",73.92009199,,,,
7/17/96,"5,376.88","5,465.29","5,325.10","5,376.88",73.32721187,,,,
7/16/96,"5,358.76","5,438.66","5,170.11","5,358.76",73.20355183,,,,
7/15/96,"5,349.51","5,527.93","5,326.98","5,349.51",73.14034454,,,,
7/12/96,"5,510.56","5,562.65","5,455.16","5,510.56",74.23314624,,,,
7/11/96,"5,520.50","5,600.33","5,447.77","5,520.50",74.30006729,,,,
7/10/96,"5,603.65","5,628.03","5,515.00","5,603.65",74.85753135,,,,
7/9/96,"5,581.86","5,622.49","5,540.12","5,581.86",74.71184645,,,,
7/8/96,"5,550.83","5,622.12","5,519.80","5,550.83",74.50389252,,,,
7/5/96,"5,588.14","5,657.58","5,570.77","5,588.14",74.75386278,,,,
7/3/96,"5,703.02","5,749.93","5,656.47","5,703.02",75.51834214,,,,
7/2/96,"5,720.38","5,769.88","5,668.29","5,720.38",75.63319377,,,,
7/1/96,"5,729.98","5,749.19","5,637.26","5,729.98",75.69663136,0.034928236,5.5,,
6/28/96,"5,654.63","5,724.44","5,625.81","5,654.63",75.19727389,,,,
6/27/96,"5,677.53","5,715.21","5,616.21","5,677.53",75.3493862,,,,
6/26/96,"5,682.70","5,739.22","5,652.04","5,682.70",75.38368524,,,,
6/25/96,"5,719.27","5,760.27","5,668.66","5,719.27",75.62585537,,,,
6/24/96,"5,717.79","5,770.61","5,688.61","5,717.79",75.61606972,,,,
6/21/96,"5,705.23","5,722.22","5,639.11","5,705.23",75.53297293,,,,
6/20/96,"5,659.43","5,709.30","5,606.97","5,659.43",75.22918317,,,,
6/19/96,"5,648.35","5,693.78","5,600.70","5,648.35",75.15550545,,,,
6/18/96,"5,628.03","5,683.44","5,607.71","5,628.03",75.02019728,,,,
6/17/96,"5,652.78","5,689.72","5,614.36","5,652.78",75.1849719,,,,
6/14/96,"5,649.45","5,687.13","5,609.93","5,649.45",75.16282326,,,,
6/13/96,"5,657.95","5,714.84","5,622.86","5,657.95",75.21934592,,,,
6/12/96,"5,668.29","5,725.55","5,637.63","5,668.29",75.28804686,,,,
6/11/96,"5,668.66","5,747.71","5,637.63","5,668.66",75.29050405,,,,
6/10/96,"5,687.87","5,727.03","5,643.54","5,687.87",75.41796868,,,,
6/7/96,"5,697.11","5,708.93","5,559.69","5,697.11",75.47920243,,,,
6/6/96,"5,667.19","5,750.67","5,639.48","5,667.19",75.28074123,,,,
6/5/96,"5,697.48","5,718.53","5,631.35","5,697.48",75.4816534,,,,
6/4/96,"5,665.71","5,697.84","5,616.58","5,665.71",75.27091072,,,,
